Date,Open,High,Low,Close,Volume
2016.09.29,1324.62,1324.77,1324.21,1324.34,819
2016.09.29,1324.34,1324.9,1324.05,1324.78,1137
2016.09.29,1324.78,1324.96,1324.55,1324.68,812
2016.09.29,1324.68,1324.89,1323.85,1323.96,904
2016.09.29,1323.99,1324.09,1323.09,1323.39,968
2016.09.29,1323.39,1323.7,1323.07,1323.24,1238
2016.09.29,1323.24,1323.67,1322.83,1322.95,1392
2016.09.29,1322.95,1323.15,1321.76,1321.79,1356
2016.09.29,1321.8,1322.24,1320.76,1321.76,1629
2016.09.29,1321.76,1322.48,1321.71,1322.37,997
2016.09.29,1322.37,1322.38,1320.09,1320.66,1604
2016.09.29,1320.6,1321.54,1320.46,1320.9,1509
2016.09.29,1320.9,1322.09,1320.79,1321.97,1686
2016.09.29,1321.98,1322.14,1321.59,1321.85,1338
2016.09.29,1321.82,1321.95,1321.28,1321.52,1372
2016.09.29,1321.48,1322.12,1321.29,1321.86,775
2016.09.29,1321.85,1322.4,1321.65,1321.69,909
2016.09.29,1321.68,1321.86,1321.51,1321.75,1006
2016.09.29,1321.75,1321.92,1321.51,1321.56,1057
2016.09.29,1321.5,1321.68,1321.35,1321.64,771
2016.09.29,1321.64,1321.71,1321.4,1321.52,702
2016.09.29,1321.52,1321.89,1321.19,1321.64,1682
2016.09.29,1321.69,1321.73,1321.48,1321.5,894
2016.09.29,1321.5,1321.8,1321.33,1321.34,779
2016.09.29,1321.34,1321.61,1320.27,1321.26,1162
2016.09.29,1321.26,1321.29,1319.46,1319.66,1563
2016.09.29,1319.65,1319.97,1319.36,1319.53,1385
2016.09.29,1319.52,1320.01,1319.01,1319.43,1160
2016.09.29,1319.41,1320.97,1319.07,1320.86,1375
2016.09.29,1320.86,1321.38,1320.73,1321.23,971
2016.09.29,1321.21,1321.3,1320.71,1321.05,737
2016.09.29,1321,1321.89,1320.06,1320.57,1223
2016.09.29,1320.67,1321.08,1318.66,1320.2,1025
2016.09.29,1320.11,1320.11,1316.39,1317.7,2981
2016.09.29,1317.68,1317.85,1316.4,1317.85,2540
2016.09.29,1317.88,1318.21,1316.33,1317.43,2651
2016.09.29,1317.44,1319.38,1317.13,1319.08,2040
2016.09.29,1319.08,1320.07,1317.87,1319.16,2094
2016.09.29,1319.14,1320.36,1318.98,1319.3,1381
2016.09.29,1319.42,1321.96,1318.18,1320.69,2586
2016.09.29,1320.79,1321.1,1319.78,1319.97,1530
2016.09.29,1319.98,1320.4,1318.71,1319,1498
2016.09.29,1318.93,1319.39,1317.78,1318.21,2124
2016.09.29,1318.22,1319.22,1315.94,1317.27,2626
2016.09.29,1317.23,1318.92,1317.22,1318.5,1757
2016.09.29,1318.47,1319.26,1318.1,1318.19,1305
2016.09.29,1318.2,1318.2,1317.62,1317.73,839
2016.09.29,1317.73,1318.61,1317.54,1317.8,944
2016.09.29,1318.03,1319.46,1318.03,1318.97,1214
2016.09.29,1318.97,1320.55,1318.97,1320.54,1592
2016.09.29,1320.65,1322.42,1319.69,1321.78,2808
2016.09.29,1321.79,1324.22,1321.45,1322.48,3022
2016.09.29,1322.47,1323.19,1322.4,1322.79,2823
2016.09.29,1322.77,1323.7,1322.66,1322.99,1559
2016.09.29,1322.99,1324.06,1322.94,1323.86,2066
2016.09.29,1323.82,1324.26,1322.9,1323.51,2583
2016.09.29,1323.5,1323.5,1321.97,1322.41,2522
2016.09.29,1322.42,1322.65,1321.89,1321.95,1695
2016.09.29,1321.97,1321.97,1320.93,1321.64,1704
2016.09.29,1321.65,1321.72,1321.14,1321.49,1496
2016.09.29,1321.47,1322.04,1320.84,1321.65,1724
2016.09.29,1321.68,1321.78,1320.67,1320.97,1878
2016.09.29,1320.95,1321.59,1320.41,1321.43,1948
2016.09.29,1321.45,1321.61,1320.66,1320.69,1267
2016.09.29,1320.68,1320.91,1320.17,1320.19,759
2016.09.29,1319.52,1320.52,1319.52,1320.02,295
2016.09.29,1320.02,1320.53,1319.05,1320.51,163
2016.09.30,1320.18,1321.43,1319.92,1321.13,337
2016.09.30,1321.21,1321.35,1320.95,1321.04,388
